0x00101000  RegCreateKeyExA
0x00101004  RegSetValueExA
0x00101008  RegCloseKey
0x0010100c  RegOpenKeyExA
0x00101010  RegQueryValueExA
0x00101018  SetBkColor
0x0010101c  ?0x70000de0
0x00101020  DeleteObject
0x00101024  SetTextColor
0x00101028  ?0x70000df0
0x0010102c  ?0x70000e00
0x00101030  GetObjectA
0x00101034  ?0x70000e10
0x00101038  ?0x70000e20
0x0010103c  DeleteDC
0x00101040  SelectObject
0x00101044  ?0x70000e30
0x00101048  BitBlt
0x0010104c  CreateCompatibleDC
0x00101050  ?0x70000e40
0x00101054  ?0x70000e50
0x00101058  ?0x70000e60
0x0010105c  ?0x70000e70
0x00101060  ?0x70000e80
0x00101064  GetStockObject
0x00101068  ?0x70000e90
0x0010106c  CreateCompatibleBitmap
0x00101070  ?0x70000ea0
0x00101074  ?0x70000eb0
0x0010107c  GetLogicalDriveStringsA
0x00101080  HeapReAlloc
0x00101084  CreateEventA
0x00101088  InitializeCriticalSection
0x0010108c  FindNextFileA
0x00101090  GlobalAlloc
0x00101094  FindClose
0x00101098  DeleteCriticalSection
0x0010109c  LeaveCriticalSection
0x001010a0  EnterCriticalSection
0x001010a4  SetEvent
0x001010a8  HeapFree
0x001010ac  FindFirstFileA
0x001010b0  LoadLibraryA
0x001010b4  GetProcAddress
0x001010b8  LoadResource
0x001010bc  DeleteFileA
0x001010c0  _lclose
0x001010c4  GetTempPathA
0x001010c8  FindResourceExA
0x001010cc  GetCursorPos
0x001010d0  GetFileAttributesA
0x001010d4  DrawTextA
0x001010d8  LoadBitmapA
0x001010dc  CreateDirectoryA
0x001010e0  GlobalFree
0x001010e4  FillRect
0x001010e8  UnregisterClassA
0x001010ec  MultiByteToWideChar
0x001010f0  Sleep
0x001010f4  GetTickCount
0x001010f8  CloseHandle
0x001010fc  LoadStringA
0x00101100  GetDoubleClickTime
0x00101104  ReadFile
0x00101108  GetFileSize
0x0010110c  WriteFile
0x00101110  CreateThread
0x00101114  WaitForSingleObject
0x00101118  SetFilePointer
0x0010111c  SetWindowLongA
0x00101120  SetFocus
0x00101124  CreateWindowExA
0x00101128  GetWindowTextA
0x0010112c  DestroyWindow
0x00101130  GetWindowRect
0x00101134  TrackPopupMenu
0x00101138  AppendMenuA
0x0010113c  DestroyMenu
0x00101140  CreatePopupMenu
0x00101144  SetUnhandledExceptionFilter
0x00101148  PeekMessageA
0x0010114c  GetWindowLongA
0x00101150  CallWindowProcA
0x00101154  GetParent
0x00101158  IsClipboardFormatAvailable
0x0010115c  SetEndOfFile
0x00101160  GetModuleFileNameA
0x00101164  SetWindowTextA
0x00101168  HeapCreate
0x0010116c  HeapDestroy
0x00101170  LoadCursorA
0x00101174  RtlUnwind
0x00101178  GetCurrentProcess
0x0010117c  GetSysColorBrush
0x00101180  GetStartupInfoA
0x00101184  RegisterClassA
0x00101188  GetUpdateRect
0x0010118c  DefWindowProcA
0x00101190  RaiseException
0x00101194  ExitProcess
0x00101198  GetModuleHandleA
0x0010119c  TlsGetValue
0x001011a0  SetLastError
0x001011a4  TlsFree
0x001011a8  TlsAlloc
0x001011ac  TlsSetValue
0x001011b0  GetCurrentThreadId
0x001011b4  GetVersion
0x001011b8  DispatchMessageA
0x001011bc  GetClipboardData
0x001011c0  EmptyClipboard
0x001011c4  GetLastError
0x001011c8  CreateFileA
0x001011cc  GetWindowsDirectoryA
0x001011d0  GetVolumeInformationA
0x001011d4  SetClipboardData
0x001011d8  OpenClipboard
0x001011dc  InterlockedIncrement
0x001011e0  WideCharToMultiByte
0x001011e4  HeapAlloc
0x001011e8  InterlockedDecrement
0x001011f0  ShellExecuteA
0x001011f4  ?0x70000ec0
0x001011f8  ?0x70000ed0
0x00101200  GetDlgItem
0x00101204  PostMessageA
0x00101208  GetAsyncKeyState
0x0010120c  CloseClipboard
0x00101210  SetCursor
0x00101214  GetCursor
0x00101218  SetMapMode
0x0010121c  CreateFontIndirectA
0x00101220  SendMessageA
0x00101224  DPtoLP
0x00101228  MessageBoxA
0x0010122c  CreateSolidBrush
0x00101230  GetMapMode
0x00101234  CreateBitmap
0x00101238  GetCurrentObject
0x0010123c  MoveToEx
0x00101240  ReleaseDC
0x00101244  GetDC
0x00101248  SetBkMode
0x0010124c  LineTo
0x00101250  Arc
0x00101254  CreatePenIndirect
0x00101258  GetTextExtentPoint32A
0x0010125c  CreateBrushIndirect
0x00101260  FindExecutableA
0x00101264  DragQueryFileA
0x00101268  CoCreateInstance
0x0010126c  OleUninitialize
0x00101270  RegisterDragDrop
0x00101274  ?0x70000d00
0x00101278  ?0x70000d10
0x0010127c  ?0x70000d20
0x00101280  ?0x70000d30
0x00101284  ?0x70000d40
0x00101288  EndPaint
0x0010128c  BeginPaint
0x00101290  ?0x70000d50
0x00101294  ?0x70000d60
0x00101298  ?0x70000d70
0x0010129c  ?0x70000d80
0x001012a0  ?0x70000d90
0x001012a4  ?0x70000da0
0x001012a8  ?0x70000db0
0x001012ac  ?0x70000dc0
0x001012b0  ?0x70000dd0
0x001012b8  GetOpenFileNameA
0x001012bc  GetSaveFileNameA
0x001012c4  RevokeDragDrop
0x001012c8  ?0x70000ee0
0x001012cc  OleInitialize
0x001012d0  ?0x70000ef0
0x001012d4  ?0x70000f00
