0x70000000 LoadLibraryA
0x70000010 GetProcAddress
0x70000020 GetModuleHandleA
0x70000030 GetModuleFileNameA
0x70000040 CreateFileA
0x70000050 CreateFileMappingA
0x70000060 MapViewOfFile
0x70000070 UnmapViewOfFile
0x70000080 CloseHandle
0x70000090 VirtualProtect
0x700000a0 GetCurrentProcess
0x700000b0 FlushInstructionCache
0x700000c0 GlobalAlloc
0x700000d0 GlobalFree
0x700000e0 LocalAlloc
0x700000f0 LocalFree
0x70000100 HeapAlloc
0x70000110 HeapCreate
0x70000120 HeapDestroy
0x70000130 ExitProcess
0x70000140 MessageBoxA
0x70000150 wsprintfA
0x70000160 GetLogicalDriveStringsA
0x70000170 GetDriveTypeA
0x70000180 GetVolumeInformationA
0x70000190 GetLastError
0x700001a0 SetLastError
0x700001b0 Sleep
0x700001c0 GetTickCount
0x700001d0 QueryPerformanceCounter
0x700001e0 QueryPerformanceFrequency
0x700001f0 GetVersion
0x70000200 GetVersionExA
0x70000210 GetSystemInfo
0x70000220 GetSystemDirectoryA
0x70000230 GetWindowsDirectoryA
0x70000240 GetTempPathA
0x70000250 SetFilePointer
0x70000260 SetEndOfFile
0x70000270 GetFileSize
0x70000280 ReadFile
0x70000290 WriteFile
0x700002a0 DeleteFileA
0x700002b0 CreateDirectoryA
0x700002c0 FindFirstFileA
0x700002d0 FindNextFileA
0x700002e0 FindClose
0x700002f0 GetFileAttributesA
0x70000300 MultiByteToWideChar
0x70000310 WideCharToMultiByte
0x70000320 lstrlenA
0x70000330 lstrcpyA
0x70000340 lstrcatA
0x70000350 GetModuleHandleW
0x70000360 LoadLibraryW
0x70000370 RegOpenKeyExA
0x70000380 RegQueryValueExA
0x70000390 RegCloseKey
0x700003a0 RegSetValueExA
0x700003b0 RegDeleteKeyA
0x700003c0 RegDeleteValueA
0x700003d0 RegEnumKeyExA
0x700003e0 GetOpenFileNameA
0x700003f0 GetSaveFileNameA
0x70000400 CommDlgExtendedError
0x70000410 GetDlgItem
0x70000420 SetDlgItemTextA
0x70000430 GetDlgItemTextA
0x70000440 SendDlgItemMessageA
0x70000450 SendMessageA
0x70000460 PostMessageA
0x70000470 SetBkColor
0x70000480 SetTextColor
0x70000490 CreateCompatibleDC
0x700004a0 CreateCompatibleBitmap
0x700004b0 SelectObject
0x700004c0 DeleteObject
0x700004d0 DeleteDC
0x700004e0 GetObjectA
0x700004f0 GetStockObject
0x70000500 CreateFontA
0x70000510 TextOutA
0x70000520 BitBlt
0x70000530 StretchBlt
0x70000540 SetStretchBltMode
0x70000550 GetDIBits
0x70000560 SetDIBitsToDevice
0x70000570 ShellExecuteA
0x70000580 SHGetFileInfoA
0x70000590 OleInitialize
0x700005a0 CoInitialize
0x700005b0 RevokeDragDrop
0x700005c0 RegCreateKeyExA
0x700005d0 InitCommonControls
0x700005e0 GetSystemMetrics
0x700005f0 ScreenToClient
0x70000600 ClientToScreen
0x70000610 GetClientRect
0x70000620 InvalidateRect
0x70000630 UpdateWindow
0x70000640 BeginPaint
0x70000650 EndPaint
0x70000660 GetDC
0x70000670 ReleaseDC
0x70000680 SetTimer
0x70000690 KillTimer
0x700006a0 GetKeyState
0x700006b0 GetAsyncKeyState
0x700006c0 timeGetTime
0x700006d0 midiOutOpen
0x700006e0 midiOutClose
0x700006f0 midiOutShortMsg
0x70000700 midiOutLongMsg
0x70000710 midiOutGetNumDevs
